w_id	word	Chechen	ZH..АЗ.Azerbaijani	ZI..KU..Kumyk	ZJ..KT..Kumyk_Kajtag_Tumenler	A..АВЧД.Avar..Chadakolob.	B..АНД.Andi		C..АХВ.Akhvakh	D..ЧАМ.Chamalal	E..ЧАМГ.Chamalal..Gigatli.	F..ТИНД.Tindi	G..ИНХ.Inkhokwari	H..ЦЕЗ.Tsez	I..ГИН.Hinuq	J..БЕЖТ.Bezhta..Tladal.	K..БЕЖХ.Bezhta..Khoshar.Khota.	L..ГУНЗ.Hunzib	M..ЛАК.Lak	N..ДАРЧ.Chirag.Dargwa	O..АРЧ.Archi	P..ТАБД.Tabasaran..Dyubek.	Q..ТАБК.Tabasaran..Kondik.	R..АГБЩ.Agul..Burshag.	S..АГРИ.Agul..Richa.	T..АГБХ.Agul..Burkikhan.	U..АГФИ.Agul..Fite.	V..АГТП.Agul..Tpig.	W..ЛЕЗХ.Lezgian..Khlyut.	X..РУТЛ.Rutul..Luchek.	ZA..ЦАХ.Tsakhur..Mikik.	ZB..ЦАХГ.Tsakhur..Helmets.	ZC..ЦАХЦ.Tsakhur..Tsakhur.	ZD..КРЫЗ.Kryz	ZE..БУД.Budugh	ZF..ХИН.Khinalug	ZG..УД.Udi
1	ГОЛОВА	корта	баш	баш	баш	bet'ér	mijar/HF		mina/RL	un/H	uní/HL	ʔ˳ani	q'Ӏem/F	q'Ӏim	q'imu	q'äm/FL	q'äm	q'em	bak'	bek'	kárt'i, oӀnt	k'ul/R	k'ul	k'il	k'il	k'il	k'il	NA	q'il	huq'úl, kallé	wuk'uly/H, kalle/LH	wuq'uly, kalle	wuk'ul, kalle	q'ɨl	q'ɨl	kallá, mik'ír	bul
2	ЛОБ	хьаьж	алын	мангалай	мангай	nodó	honno/HL		nido/HL	hal'a/H	hal'á/H	haL'a	L'oq'Io/LH	L'oq'Io	L'oq'o	mät'a/m	mat'a	mat'a	nilt̄a-bak'	q'at'á-bek'	nodó	únt'u/R	unt'	ʕaw, ʕawánq'ul	abáq'un	awán-q'ul	abánq'ul	NA	ṕel	bel	liǧa/LR	liga	liga	bel	bejin	q'ašq'aĺɨR	ǩodoR
3	ГЛАЗ	б1аьрг	ҝөз	гёз	гоьз	ber	hark'u/HF		k'eha/RH	hač'a/L	haj/L	hak'ya	ezol/L	oziri || oziru	ižej	häre/LM	häre	hare	ja, it̄a	ʕúle	lur	ul/R	ul	il	ul	ul	ul	NA	ul	ul	uly/R, k'ak'/L	uly, k'ak'	uly	ʕül	ʕül	pil	pul
4	РЕСНИЦА	ц1оцкъам	кирпик	кирпик	кирпик	mitír	nidu/L		L'aqỏa/R	NA	hadúLčaj/LL	araXun	ezas kö/LR	c'ec'	c'ec'	c'ic'	c'ic'	c'ɨc'	NA	muzára	lúllin cal	pi̯spís/R	pi̭spís, c'ilc'ím	pinc'	bic'bíc	c'ip'c'íp'	c'ip'c'íp'	NA	č'ep'č'ép'ej	RIɨbrí	kilypiky/L	kirpiky	kirpiky	c'äp' || c'äp	ʕüla kirpig	niníg	net
5	БРОВЬ	ц1оцкъам	гаш	къаш	къаш	L'ensér	lens̄ib/H		les̄e/R	L'esal/LH	L'es̄án/LH	insar	esser/HL	c'ec'	c'ec'	c'ic'/L	häq'wä	c'ɨc'	it̄a-c'ani	nét̄a	dárc̄'an	urč'úm || určím/H	ulč'ím	urnét'	unét'	unét'	unít'	NA	gɨlc'ám	Gač	Gaš/H	Gaš	Gaš	ʕülc'äm	Gaš	k'ɨǧ	q̄aš
6	УХО	лерг	гулаг	къулакъ	къулакъ	ʕin	hant'ik'a/H		hãde/HL	anna/L	hánč'a/L	hank'yit'a	ãlha/LH	aHja	aXXa	ä̃Rä/M	äRä	ãRa	wič'i	la:l	oj	iw/F	ib	iwír	jabúr	iwúr	ibúr	NA	eb	ubúr	k'ɨrɨ/H	k'ɨrɨ || k'ɨre	k'ɨrɨ	ibɨr	ibir	t'op	umuXI
7	ЛИЦО	юьхь	сифәт, үз	бет, сыпат	бет	humér, humér-k'al	riži/L		miʕa-k'ači/HHL	baj/L	XunXú/L	mija-hak'ya, ba	XIuXI/F	HuH	XuX	mot'o/MH	mot'o	mot'o	lažin	da:l	máImǝrči	maš/L	maš	maš	qIusí, sifát	qessú	qIusú	NA	jic̃̌ín	xésɨm	aq'˳a/H	aq'˳a	aq'˳a	iӡ̌in	iӡ̌in	iží	čIo
8	ЩЕКА	беснe	јанаг	яякъ	къанкъай	ʕínču	g˳orzu/H		k'ãL̄'u/R	č'el˳/H	č'ilú/H	basa	XIuXI	HuH	XuX	gugaro/M	gogaro	gogor	č'aw	alq̄é	eXI	ǧarc'ál/H	garc'íl	K'ump'	sifátin q'ul	k'ump'	qIusúdin q'ul	NA	p̃ark'˳	dan	dan/H	NA	dan	k'˳a-t'in	k'ut'un	t'uk'ún	NA
9	НОС	мара	бурун	бурун	бурну	XumúX	mahar/L		miʕa/RL	maj/L	mára/L	mijar	malne/HL	malli	malu	märö/LM	märö	maru	maj	q̄Iuq̄I	muč	qlaql/H	qluql	qIuqI	qIuqI	qüqy	q˳eq˳	NA	ilér	xexy	quš/H	qow	quš	miʔěl	meʔel	k'ɨtɨ́r	boXImoRI
10	КЛЮВ	з1ок	димдик	къушбурун	къушну бурнусу	gožó	mahar, q'amu		miʕi/RL	maj, q'ama	q'ama	s̄unk'ya	maIL'u/HL	buIL'i	miL'u	möL'ö/M	möL'ö	moL'o	q̄Iip̄i	muʕúl	muč	Guʒmúʒu/R || muʒmúʒu/R	RIamRIám, RIazmúz	k̄aIk̄ám	muʔúl	qup̄	muʔúl	NA	k'ɨf	k'uxy	k'uxy/H	bok'	k'uxy	dindiR	dindiR	dindíR	dɨndɨR
