List ID	Type	SfW	Code	Language_Paper	Language	Family	Group	Glottocode	Village	Multidagestan.com	Lat	Lon	District
1	Speaker	1	Alibeglo1	1	Georgian	Kartvelian	Kartvelian	nucl1302	Alibeglo	NA	41.378056	46.821944	Qax
8	Speaker	1	Bezhta1	1	Bezhta	East-Caucasian	Tsezic	bezh1248	Bezhta	y	42.1339	46.1247	Tsunta
9	Dictionary	1	D_Botlikh	1	Botlikh	East-Caucasian	Andic	botl1242	Dictionary	NA	42.665	46.22	Dictionary
10	Dictionary	1	D_Agul	1	Agul	East-Caucasian	Lezgic	aghu1253	Dictionary	NA	41.92418	47.58429	Dictionary
13	Expert	1	E_Azerbaijani	1	Azerbaijani	Altaic	Turkic	nort2697	Expert	NA	40.97767	46.4737	Expert
16	Dictionary	1	D_Gagatli	1	Andi	East-Caucasian	Andic	andi1255	Dictionary	NA	42.800361	46.292645	Dictionary
18	Dictionary	1	D_Hinuq	1	Hinuq	East-Caucasian	Tsezic	hinu1240	Dictionary	NA	42.1764	45.98646	Dictionary
19	Dictionary	1	D_Karata	1	Karata	East-Caucasian	Andic	kara1474	Dictionary	NA	42.65005	46.31511	Dictionary
21	Dictionary	1	D_Lezgian	1	Lezgian	East-Caucasian	Lezgic	lezg1247	Dictionary	NA	41.51572	47.89507	Dictionary
22	Dictionary	1	E_Russian	1	Russian	Indo-European	Slavic	russ1263	Expert	NA	59	50	Expert
23	Dictionary	1	D_Rutul	1	Rutul	East-Caucasian	Lezgic	rutu1240	Dictionary	NA	41.61866	47.32436	Dictionary
24	Dictionary	1	D_Tabasaran	1	Tabasaran	East-Caucasian	Lezgic	taba1259	Dictionary	NA	42.01976	47.83791	Dictionary
25	Dictionary	1	D_Tsez	1	Tsez	East-Caucasian	Tsezic	dido1241	Dictionary	NA	42.26458	45.80959	Dictionary
26	Speaker	1	Darvag1	1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	y	42.022285	48.065912	Tabasaran
27	Speaker	1	Darvag2	1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	y	42.022285	48.065912	Tabasaran
28	Speaker	1	Darvag3	1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	y	42.022285	48.065912	Tabasaran
29	Speaker	1	Darvag4	1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	y	42.022285	48.065912	Tabasaran
31	Speaker	1	Darvag5	1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	y	42.022285	48.065912	Tabasaran
32	Speaker	1	Darvag6	1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	y	42.022285	48.065912	Tabasaran
45	Speaker	1	Gelmets1	1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	y	41.62466	47.17889	Rutul
46	Speaker	1	Gelmets2	1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	y	41.62466	47.17889	Rutul
47	Speaker	1	Gelmets3	1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	y	41.62466	47.17889	Rutul
