Concept nr.	Concept	Set	Standard Transcription	List ID	Code	Comment	Stem	Confirmed	Source	Mediator	Add	cognate
1	the ant	1 - 1	č'ianč'vela	1	Alibeglo1	NA	1	NA	NA	NA	NA	NA
1	the ant	1 - 1	č'ianč'vela	96	Meshabash1	NA	1	NA	NA	NA	NA	NA
1	the ant	1 - 1	č'ianč'vela	103	Qax4	NA	1	NA	NA	NA	NA	NA
1	the ant	1 - 1	č'ianč'vela	104	Qax5	NA	1	NA	NA	NA	NA	NA
1	the ant	1 - 1	č'ianč'vela	105	Qax6	NA	1	NA	NA	NA	NA	NA
1	the ant	1 - 1	č'ianč'vela	148	E_Georgian	NA	1	NA	NA	NA	NA	NA
1	the ant	1 - 2	hũca	8	Bezhta1	NA	2	NA	NA	NA	NA	yes
1	the ant	1 - 2	hũca	141	D_Bezhta2	NA	2	NA	NA	NA	NA	yes
1	the ant	1 - 3	moor	153	E_Persian	NA	3	NA	NA	NA	NA	NA
1	the ant	1 - 3	moor	153	E_Persian	NA	3	NA	NA	NA	NA	NA
1	the ant	1 - 4	"نَمْلَة
"	149	E_Arabic	nam̊laẗ	4	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	13	E_Azerbaijani	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	26	Darvag1	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	27	Darvag2	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	28	Darvag3	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	29	Darvag4	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	31	Darvag5	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	32	Darvag6	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	52	Ilisu1	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	101	Qax2	NA	5	NA	NA	NA	NA	NA
1	the ant	1 - 5	qarışqa	102	Qax3	NA	5	NA	NA	NA	NA	NA
