ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Alibeglo1-1_theant-1-1,Alibeglo1-1_theant-1,č'ianč'vela,1-1,false,expert,chechurofielddata,,,
Meshabash1-1_theant-1-1,Meshabash1-1_theant-1,č'ianč'vela,1-1,false,expert,chechurofielddata,,,
Qax4-1_theant-1-1,Qax4-1_theant-1,č'ianč'vela,1-1,false,expert,chechurofielddata,,,
Qax5-1_theant-1-1,Qax5-1_theant-1,č'ianč'vela,1-1,false,expert,chechurofielddata,,,
Qax6-1_theant-1-1,Qax6-1_theant-1,č'ianč'vela,1-1,false,expert,chechurofielddata,,,
E_Georgian-1_theant-1-1,E_Georgian-1_theant-1,č'ianč'vela,1-1,false,expert,chechurofielddata,,,
Bezhta1-1_theant-1-1,Bezhta1-1_theant-1,hũca,1-2,false,expert,chechurofielddata,,,
D_Bezhta2-1_theant-1-1,D_Bezhta2-1_theant-1,hũca,1-2,false,expert,chechurofielddata,,,
E_Persian-1_theant-1-1,E_Persian-1_theant-1,moor,1-3,false,expert,armandpc,,,
E_Persian-1_theant-2-1,E_Persian-1_theant-2,moor,1-3,false,expert,armandpc,,,
E_Arabic-1_theant-1-1,E_Arabic-1_theant-1,نَمْلَة,1-4,false,expert,bulakhpc,,,
E_Azerbaijani-1_theant-1-1,E_Azerbaijani-1_theant-1,qarışqa,1-5,false,expert,suleymanovpc,,,
Darvag1-1_theant-1-1,Darvag1-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Darvag2-1_theant-1-1,Darvag2-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Darvag3-1_theant-1-1,Darvag3-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Darvag4-1_theant-1-1,Darvag4-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Darvag5-1_theant-1-1,Darvag5-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Darvag6-1_theant-1-1,Darvag6-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Ilisu1-1_theant-1-1,Ilisu1-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Qax2-1_theant-1-1,Qax2-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Qax3-1_theant-1-1,Qax3-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Qax7-1_theant-1-1,Qax7-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Qax9-1_theant-1-1,Qax9-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Yersi1-1_theant-1-1,Yersi1-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Yersi2-1_theant-1-1,Yersi2-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
Yersi3-1_theant-1-1,Yersi3-1_theant-1,qarışqa,1-5,false,expert,chechurofielddata,,,
D_Agul-1_theant-1-1,D_Agul-1_theant-1,зибз,1-6,false,expert,chechurofielddata,,,
D_Tabasaran-1_theant-1-1,D_Tabasaran-1_theant-1,зимз,1-6,false,expert,chechurofielddata,,,
D_Archi-1_theant-1-1,D_Archi-1_theant-1,zimzu,1-6,false,expert,chechurofielddata,,,
D_Rutul-1_theant-1-1,D_Rutul-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Ikhrek1-1_theant-1-1,Ikhrek1-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Ikhrek2-1_theant-1-1,Ikhrek2-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Ikhrek3-1_theant-1-1,Ikhrek3-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Ikhrek4-1_theant-1-1,Ikhrek4-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kiche1-1_theant-1-1,Kiche1-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kiche2-1_theant-1-1,Kiche2-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Rutul1-1_theant-1-1,Rutul1-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kina4-1_theant-1-1,Kina4-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kina5-1_theant-1-1,Kina5-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kina3a-1_theant-1-1,Kina3a-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kina2a-1_theant-1-1,Kina2a-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Kina1a-1_theant-1-1,Kina1a-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Khnov2-1_theant-1-1,Khnov2-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
Khnov3-1_theant-1-1,Khnov3-1_theant-1,дзыдза1хъ,1-8,false,expert,chechurofielddata,,,
E_Chechen-1_theant-1-1,E_Chechen-1_theant-1,зингат,1-9,false,expert,chechurofielddata,,,
E_Kumyk-1_theant-1-1,E_Kumyk-1_theant-1,къомурсгъа,1-13,false,expert,chechurofielddata,,,
D_Botlikh-1_theant-1-1,D_Botlikh-1_theant-1,танц1ц1а,1-14,false,expert,chechurofielddata,,,
D_Gagatli-1_theant-1-1,D_Gagatli-1_theant-1,лъанц1ц1и,1-14,false,expert,chechurofielddata,,,
D_Karata-1_theant-1-1,D_Karata-1_theant-1,лъарц1ц1е,1-14,false,expert,chechurofielddata,,,
Karata1-1_theant-1-1,Karata1-1_theant-1,лъарц1ц1е,1-14,false,expert,chechurofielddata,,,
Karata3-1_theant-1-1,Karata3-1_theant-1,лъарц1ц1е,1-14,false,expert,chechurofielddata,,,
Karata4-1_theant-1-1,Karata4-1_theant-1,лъарц1ц1е,1-14,false,expert,chechurofielddata,,,
Rikvani1-1_theant-1-1,Rikvani1-1_theant-1,лъанц1ц1и,1-14,false,expert,chechurofielddata,,,
Zilo1-1_theant-1-1,Zilo1-1_theant-1,лъанц1ц1и,1-14,false,expert,chechurofielddata,,,
Zilo2-1_theant-1-1,Zilo2-1_theant-1,лъанц1ц1и,1-14,false,expert,chechurofielddata,,,
Anchikh1-1_theant-1-1,Anchikh1-1_theant-1,лъарц1ц1е,1-14,false,expert,chechurofielddata,,,
Anchikh2-1_theant-1-1,Anchikh2-1_theant-1,лъарц1ц1е,1-14,false,expert,chechurofielddata,,,
