ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Alibeglo1-1_theant-1,,Alibeglo1,1_theant,č'ianč'vela,č'ianč'vela,,,chechurofielddata,,,,
Meshabash1-1_theant-1,,Meshabash1,1_theant,č'ianč'vela,č'ianč'vela,,,chechurofielddata,,,,
Qax4-1_theant-1,,Qax4,1_theant,č'ianč'vela,č'ianč'vela,,,chechurofielddata,,,,
Qax5-1_theant-1,,Qax5,1_theant,č'ianč'vela,č'ianč'vela,,,chechurofielddata,,,,
Qax6-1_theant-1,,Qax6,1_theant,č'ianč'vela,č'ianč'vela,,,chechurofielddata,,,,
E_Georgian-1_theant-1,,E_Georgian,1_theant,č'ianč'vela,č'ianč'vela,,,chechurofielddata,,,,
Bezhta1-1_theant-1,,Bezhta1,1_theant,hũca,hũca,,,chechurofielddata,,,,
D_Bezhta2-1_theant-1,,D_Bezhta2,1_theant,hũca,hũca,,,chechurofielddata,,,,
E_Persian-1_theant-1,,E_Persian,1_theant,moor,moor,,,armandpc,,,,
E_Persian-1_theant-2,,E_Persian,1_theant,moor,moor,,,armandpc,,,,
E_Arabic-1_theant-1,,E_Arabic,1_theant,"نَمْلَة
",نَمْلَة,,,bulakhpc,,,,
E_Azerbaijani-1_theant-1,,E_Azerbaijani,1_theant,qarışqa,qarışqa,,,suleymanovpc,,,,
Darvag1-1_theant-1,,Darvag1,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
Darvag2-1_theant-1,,Darvag2,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
Darvag3-1_theant-1,,Darvag3,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
Darvag4-1_theant-1,,Darvag4,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
Darvag5-1_theant-1,,Darvag5,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
Darvag6-1_theant-1,,Darvag6,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
Ilisu1-1_theant-1,,Ilisu1,1_theant,qarışqa,qarışqa,,,chechurofielddata,,,,
