List_ID	DataType	ID	Name	Family	SubGroup	Glottocode	Village	Latitude	Longitude	District	Source
1	Speaker	Alibeglo1	Georgian	Kartvelian	Kartvelian	nucl1302	Alibeglo	41.378056	46.821944	Qax	chechurofielddata
8	Speaker	Bezhta1	Bezhta	East-Caucasian	Tsezic	bezh1248	Bezhta	42.1339	46.1247	Tsunta	chechurofielddata
9	Dictionary	D_Botlikh	Botlikh	East-Caucasian	Andic	botl1242	Dictionary	42.665	46.22	Dictionary	chechurofielddata
10	Dictionary	D_Agul	Agul	East-Caucasian	Lezgic	aghu1253	Dictionary	41.92418	47.58429	Dictionary	chechurofielddata
13	Expert	E_Azerbaijani	Azerbaijani	Altaic	Turkic	nort2697	Expert	40.97767	46.4737	Expert	suleymanovpc
16	Dictionary	D_Gagatli	Andi	East-Caucasian	Andic	andi1255	Dictionary	42.800361	46.292645	Dictionary	chechurofielddata
18	Dictionary	D_Hinuq	Hinuq	East-Caucasian	Tsezic	hinu1240	Dictionary	42.1764	45.98646	Dictionary	chechurofielddata
19	Dictionary	D_Karata	Karata	East-Caucasian	Andic	kara1474	Dictionary	42.65005	46.31511	Dictionary	chechurofielddata
21	Dictionary	D_Lezgian	Lezgian	East-Caucasian	Lezgic	lezg1247	Dictionary	41.51572	47.89507	Dictionary	chechurofielddata
22	Dictionary	E_Russian	Russian	Indo-European	Slavic	russ1263	Expert	59	50	Expert	chechurofielddata
23	Dictionary	D_Rutul	Rutul	East-Caucasian	Lezgic	rutu1240	Dictionary	41.61866	47.32436	Dictionary	chechurofielddata
24	Dictionary	D_Tabasaran	Tabasaran	East-Caucasian	Lezgic	taba1259	Dictionary	42.01976	47.83791	Dictionary	chechurofielddata
25	Dictionary	D_Tsez	Tsez	East-Caucasian	Tsezic	dido1241	Dictionary	42.26458	45.80959	Dictionary	chechurofielddata
26	Speaker	Darvag1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
27	Speaker	Darvag2	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
28	Speaker	Darvag3	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
29	Speaker	Darvag4	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
31	Speaker	Darvag5	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
32	Speaker	Darvag6	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
45	Speaker	Gelmets1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	41.62466	47.17889	Rutul	chechurofielddata
46	Speaker	Gelmets2	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	41.62466	47.17889	Rutul	chechurofielddata
47	Speaker	Gelmets3	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	41.62466	47.17889	Rutul	chechurofielddata
48	Speaker	Ikhrek1	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
49	Speaker	Ikhrek2	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
50	Speaker	Ikhrek3	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
51	Speaker	Ikhrek4	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
52	Speaker	Ilisu1	Azerbaijani	Altaic	Turkic	nort2697	Ilisu	41.46694	47.05917	Qax	chechurofielddata
53	Speaker	Karata1	Karata	East-Caucasian	Andic	kara1474	Karata	42.5942	46.3419	Akhvakh	chechurofielddata
55	Speaker	Karata3	Karata	East-Caucasian	Andic	kara1474	Karata	42.5942	46.3419	Akhvakh	chechurofielddata
56	Speaker	Karata4	Karata	East-Caucasian	Andic	kara1474	Karata	42.5942	46.3419	Akhvakh	chechurofielddata
66	Speaker	Khlyut1	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
67	Speaker	Khlyut2	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
68	Speaker	Khlyut3	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
69	Speaker	Khlyut4	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
70	Speaker	Khlyut5	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
81	Speaker	Kiche1	Rutul	East-Caucasian	Lezgic	rutu1240	Kiche	41.53146	47.48171	Rutul	chechurofielddata
82	Speaker	Kiche2	Rutul	East-Caucasian	Lezgic	rutu1240	Kiche	41.53146	47.48171	Rutul	chechurofielddata
83	Speaker	Kidero1	Tsez	East-Caucasian	Tsezic	dido1241	Kidero	42.1931	45.9583	Tsunta	chechurofielddata
84	Speaker	Kidero2	Tsez	East-Caucasian	Tsezic	dido1241	Kidero	42.1931	45.9583	Tsunta	chechurofielddata
85	Speaker	Kidero3	Tsez	East-Caucasian	Tsezic	dido1241	Kidero	42.1931	45.9583	Tsunta	chechurofielddata
96	Speaker	Meshabash1	Georgian	Kartvelian	Kartvelian	nucl1302	Meshabash	41.408889	46.874444	Qax	chechurofielddata
98	Speaker	Mikik1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Mikik	41.63753	47.16822	Rutul	chechurofielddata
99	Speaker	Mikik2	Tsakhur	East-Caucasian	Lezgic	tsak1249	Mikik	41.63753	47.16822	Rutul	chechurofielddata
101	Speaker	Qax2	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
102	Speaker	Qax3	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
103	Speaker	Qax4	Georgian	Kartvelian	Kartvelian	nucl1302	Qax	41.41944	46.91806	Qax	chechurofielddata
104	Speaker	Qax5	Georgian	Kartvelian	Kartvelian	nucl1302	Qax	41.41944	46.91806	Qax	chechurofielddata
105	Speaker	Qax6	Georgian	Kartvelian	Kartvelian	nucl1302	Qax	41.41944	46.91806	Qax	chechurofielddata
106	Speaker	Qax7	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
108	Speaker	Qax9	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
111	Speaker	Rikvani1	Andi	East-Caucasian	Andic	andi1255	Rikvani	42.782304	46.319372	Botlikh	chechurofielddata
112	Speaker	Rutul1	Rutul	East-Caucasian	Lezgic	rutu1240	Rutul	41.5342	47.4269	Rutul	chechurofielddata
113	Speaker	Tad-Magitl1	Akhvakh	East-Caucasian	Andic	akhv1239	Tad-Magitl	42.550266	46.348953	Akhvakh	chechurofielddata
114	Speaker	Tad-Magitl2	Akhvakh	East-Caucasian	Andic	akhv1239	Tad-Magitl	42.550266	46.348953	Akhvakh	chechurofielddata
126	Speaker	Tukita1	Karata	East-Caucasian	Andic	toki1238	Tukita	42.57056	46.37278	Akhvakh	chechurofielddata
133	Speaker	Yersi1	Azerbaijani	Altaic	Turkic	nort2697	Yersi	42.018844	48.012897	Tabasaran	chechurofielddata
134	Speaker	Yersi2	Azerbaijani	Altaic	Turkic	nort2697	Yersi	42.018844	48.012897	Tabasaran	chechurofielddata
135	Speaker	Yersi3	Azerbaijani	Altaic	Turkic	nort2697	Yersi	42.018844	48.012897	Tabasaran	chechurofielddata
137	Speaker	Zilo1	Andi	East-Caucasian	Andic	andi1255	Zilo	42.731394	46.319223	Botlikh	chechurofielddata
138	Speaker	Zilo2	Andi	East-Caucasian	Andic	andi1255	Zilo	42.731394	46.319223	Botlikh	chechurofielddata
140	Dictionary	D_Archi	Archi	East-Caucasian	Lezgic	arch1244	Dictionary	42.0664	46.8678	Dictionary	chechurofielddata
141	Dictionary	D_Bezhta2	Bezhta	East-Caucasian	Tsezic	bezh1248	Dictionary	42.1206	46.03319	Dictionary	chechurofielddata
